Hashtags,Video ID,create_time,username ,region,video_description,like_count,comment_count,share_count,view_count ,Comments
#Ukraineattack,7165596921866865962,2022-11-13,@prestonstew,Kazakhstan,Helicopter attack in Ukraine,131500,591,221,,"1. The good old ""to whom it may concern"" tactics. 2.  😂😂Its always Ukraine video popping in my fyp and they winning 😅 3.   As if Ukraine had a couple of those. The only flying craft left there has never seen an enemy 4.  Russia not just finishing this up tells up one thing; the WEF wants casualties."
#Ukraineattack,7333354146717863214,2-8,@united24_media,Kazakhstan,Only together we can stop the production of any Russian missiles! #zircon#misisle#ukraine#kyiv,381,25,2,,"1. Haha you're funny.. goofy said ""temporarily occupied territory"". Good one 😂😂😂😂 2.  Zirkon is just as hyped as Kinzhal which turned out to be an air-launched Iskander from 1983 🇷🇺🤪 3.  Idk after how the EU has treated this Tucker Carlsen interview I’m convinced there’s more to this war then simply Russia = bad and Ukraine = good 4.  I LOVE WAR 🤪 5.  Not the US problem. If the UN would like our help they can start writing checks we need that money here"
#Ukraineattack,7113961083789937966,2022-6-27,@cbsmornings,Kazakhstan,"Russia struck at least two residential buildings in Kyiv, marking the first attack on the Ukrainian capital in nearly three weeks. #news #ukraine #ukraine🇺🇦 #ukrainewar #kyiv",12000,1004,77,,1. Yes they’d spend million dollar missiles to kill a few innocent civilians (that makes complete economic sense) 2.  It wouldn’t matter if it hit an empty tank factory 3.  it will still be reported as a kindergarten 4.  hospital or school. 5.  Funny how the reporter is not wearing any protective gear and just looking casual 😂😂😂😂 6.     wow.. almost like Iraq and Palestine and Libya and Syria 7. if this is true then Azov military placed the civilians there just like they have been doing all this time
#Ukraineattack,7340429539346402606,2023-11-23,@cbsnews,Kazakhstan,"CBS News' Charlie D'Agata was in Chasiv Yar, Ukraine, on Tuesday. Russian attacks have caused extensive damage and destruction there. On one wall of a heavily damaged building, there was an urgent message for U.S. policymakers from the beleaguered Ukrainian fighters. #news #Ukraine",769,73,5,,1. 🙏🙏🙏 2.  🥺🇺🇦 3.  Republicans are horrible people. The Ukrainians have fought hard and GOP failed again. 4.  Most of these anti Ukraine comments are from Russians 5.  stop war ..stop giving them our m9ney..corrupt media in the pockets of the corrupt government of us..we have needs here in america..we the people
#Ukraineattack,7330625348058582318,2-1,@abcnews,Kazakhstan,Footage released by Ukraine's defense ministry shows an attack that it says sunk a Russian warship.,1003,91,66,,"1. Russia is so stupid 2.  Trash aim on Russias part Fr 3.  kind people. YEMEN DO NOT KILL.
THE SUBMARAINE ISREALIBTHEY CAPTURED HELPED THE MARINES OUT. LIFE IS RESPECTED NOT like bARBARIANS AMERICAN WEAPONS 4.  by the beginning of the weekend Russia will use their nuclear warfare 5.  Slava Ukrainian 🇺🇦🇺🇦🇺🇦🙏🙏🙏"
#UkraineRussia,7340705158390713643,2023- 12-26,@joeycontino2,Kazakhstan,2/28 Transnistria Appeals to Russia for Help #transnistria #transnistriaemoldova #moldova #ukraine #greenscreen,5174,387,63,,"1. How's your Ukranian gold digger wife Joey? 2.  Russia is a terrorist state no one want to acknowledge 3.  Putin is doing this Putin is a war criminal 4.  They want protection from NATO 5.  That's Serbian invention, in all Balkan wars of 1990is they was ""just protecting"" their people 6.  same recipe Russia is doing in former USSR countries."
#UkraineRussia,7337536966961089838,2-19,@cbseveningnews,Kazakhstan,"Ukrainian President Volodymyr Zelenskyy said Monday that a shortage of ammunition forced Ukraine to retreat from a city in the East, giving Russia an important victory. #news #ukraine #russia",4477,911,80,,1. Why doesn’t Zelensky want peace 2.  money money more money 3.  60 what 💀 tax payers money 4.  no more money 5.  60 billion eeiiii  6. we are hungry here in Africa oooh
#UkraineRussia,7331430881539657002,2-3,@cnn,Kazakhstan,"An elderly woman in Kherson, Ukraine was treated by doctors after a Russian bomb exploded on her street. #CNN #News #Ukraine #Russia",2117,416,47,,1. CNN IS GRIEVING WHEN THEY TALK ABOUT UKRAINE & TOTALLY IGNORE THE GENOCIDE THAT IS TALKING PLACE IN PALESTINE. THEY PEOPLE ARE BORN EVIL. 2.  Russia❤️💪 3.  🥺😕😢 this has to stop! Poor people in Ukraine. May God protect them and their country! 4.  💔🇵🇸 5.  😞😞😞😞😞😞 6.  🙏🙏🙏 7.  cuando bamos a parar nu estra auto destrucción los umanos somos peores que un serviente en este mundo💖
#UkraineRussia,7339777831095848238,2023-10-14,@ane5ti,Kazakhstan,"President Putin is making it very clear without saying it explicitly, so I'll clarify

If the West proceeds to add Ukraine into NATO it will lead to nuclear war

Are you ready to die to defend Ukraine? I'm not. This needs to be de-escalated immediately.
#fyp #foryou #foryoupage #russia #ukraine #nato",22600,4916,2336,,"1. problem is putin not russia 2.  never heard Putin invading other countries and stole their resources. Just saying 😁 3.  First problem is that Putin broke promise not to invade Crimea 4.  Replace Putin. And surprise. Their is peace 5.  A lot of Europeans stand behind you Mr Putin.
Keep fighting against our so called ""leaders"""
#UkraineRussiaWar,7144060335643757867,2022-9-16,@abcnews,Kazakhstan,"Tom Soufi Burridge reports from outside #Kharkiv, #Ukraine, where decomposing bodies of #Russian #soldiers have been left lying in the ground.",20300,415,133,,1. Anyone else have mixed emotions? 2.  But nobody in Russia Will even see this. Especially the parents. So sad. 3.  Those poor families not knowing anything about their soldiers… 💔💔💔 4.  So much death for no reason 5.  There no way there body decomposed that fast.
#UkraineRussiaWar,7247971493106289963,2023-6-23,@russobotbeepboop,Kazakhstan,Shell shocked ukranian soldier woken up #pov #ukrainewarrussia #ukrainewarfootage #shellshock #ptsd #warzoneclips #russia🇷🇺 #armoredcombat #dead #tank #tos #ukraine #russia #💀,100800,721,537,,1. that guy behind him have a thousand yard stare 😳 2.  Someone please hug that man... I'm so sorry about this 3.  the way the other one is just staring in the back... 4.  I wanna hug all of these people so much. 5.  U can see the person in the back with a “thousand yard stare” 🥺
#UkraineRussiaWar,7237034667495427333,2023-5-25,@militer.79,Kazakhstan,And some say that there is no point in armor #wagnergroup🐺🇷🇺 #wagnergroup🤙🏼 #military #fyp #militaryworld #war #rusia🇷🇺 #ukraine🇺🇦,36400,225,746,,1. That’s not the actual bullet that hit him if that hits someone that’s leaving a fist size hole in you armour or no armour 2.  lucky escape 3.  That was all debunked 4.  but armor is still helpful lol 5.  URAAA.... 6.  Tiger Ring back end all flags how Job shield world this price and state shield lie 🥰🥰
#StopRussia,7340800529871768878,2023-12-11,@the.intel.pub,Kazakhstan,#greenscreen #fyp #macron #france #ukraine #nato #russia #putin #uk #ww3 #worldwar3 #breakingnews #thatintelguy #theintelpub,576,140,8,,"1. Whenever something happens I immediately come to your page to help the anxiety that will inevitably set in from all the doomsday videos. 2.  
you should make ""What-If"" scenario videos. They would do great! 3.  we already have troops in Ukraine 4.  I'm calling off Friday 5.  just in case 🍻 6.  he won't be this brave had France shares a common border with Russia like the Baltic and Nordic states! easy to be brave way out in the rear!"
#StopRussia,7305765584468315434,2023-11-26,@yulia_tymosha,Kazakhstan,"we, Ukrainians, have never really gotten the opportunity to fully process the collective trauma of the Holodomor. #ukraine #stoprussia",202,10,19,,"1. In one literature class my teacher mentioned ""My grandfather grows 10x more food than he needs"". He had many siblings but was the only one who 2.  t was done by the ✡️not Russians. so that would tbe the first step 3.  The thing people forget is the great soviet famine struck Russia as well. up to 3 million Russians died due to hunger between 1930-1933. 4.  ❤️🇺🇦♥️ 5.  The Ukrainian holocaust was how Ukrainians processed holdomorQuit being a pawn to the Jews and trying to divide us 6.  jewlenskiy and jewtin are not our brothers they are the enemies to the Slavic race and orthodox"
#StopRussia,7334527056610331936,2-11,@willyoubenice,Kazakhstan,#ukraine #ukraina #bukovel #ivanofrankivsk #ukrainian #airforce #winter #snow #war #freedom #russiawillnotwin #allwillbeukraine #stoprussia #supportukraine,1034,108,8,,"1. That's a beautiful sight to see!! 🇺🇦💪🇺🇦 2.  Beautiful to see.
Super Hero's with wings. ❤️❤️❤️❤️🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦 3.  Beautiful!! 💪💪💙🇺🇦💛💪💪 4.  Brilliant Military of Ukraine 💛💙💛💙💛💙♥️♥️♥️♥️ 5.  heroes 🥰🥰🥰"
#StopRussia,7290449213383511301,2023-10-16,@oaembr46,Kazakhstan,"💣 Углиб оборонних позицій російських окупантів на запорізькому напрямку продовжують просування штурмові підрозділи нашої бригади.
💥 «Наше основне завдання – штурмові дії. А найголовніше під час цих дій – зв’язок. Крім професійної підготовки бійців, звісно ж. Не буде зв’язку – не буде злагодженості, підтримки з неба і артилерії, – розповідає головний сержант аеромобільного підрозділу Дмитро «Дим». – А штурмові дії передбачають стрілецькі бої на коротких відстанях.
⚡️Нещодавно підрозділ Дмитра взяв у полон трьох окупантів біля Роботиного. Бійці штурмували посадку, закріпилися. А медик випередивши всіх, зненацька натрапив на ворожий бліндаж. Просто переплутав його з нашим, зайшовши туди як до себе додому. Там не розгубився й полонив російських зайд.
⚔️ «Перемога обов’язково буде. Робимо для цього все можливе. Але просив би всіх сильних і небайдужих чоловіків брати до рук зброю – так перемога буде набагато швидшою!»
🎬Про етапи підготовки, рецепти подолання страху та виконання поставлених завдань і розповідає головний сержант підрозділу.

📽Служба зв'язків з громадськістю 46 окремої аеромобільної бригади ДШВ ЗС України та Служба зв'язків з громадськістю Командування Десантно-штурмових військ Збройних Сил України

#stoprussia #ДШВ #ЗСУ #Завжди_Перші #UkrainianAirAssaultForces
#AirAssaultForces #WarInUkraine #RussianAggression
#BattleOfUkrainianAirAssaultForces",801,14,46,,1. Слава Героям!!!Слава ДШВ!!!Божого Захисту Вам!!!💙💛 2.  храни вас бог ребята 3.  сам з 46 бригады я не воин света но свами 4.  Ангела Охоронця вам життя здоровья сил терпения и благополучия вам.Бережить себе.З Богом. 5.  Господи Боже наш благаю тебе бережи наших захисників. 6.  хай вас Бог оберігає🤗
#RussiaSanctions,7338900242336632106,2023-11-30,@philipdefranco,Kazakhstan,"US Banishes Russia To Shadow Realm #usa #europe

The US has banished Russia to the shadow realm. Today, they announced nearly 600 new sanctions on Russia for the murder of Navalny and for the continued invasion of Ukraine. The US is also looking at taking 300 billion dollars of Russia’s frozen assets and giving it directly to Ukraine. This was accompanied by a lot of new arrests and indictments of Russian businessmen. The new sanctions target Russia’s finances, defense industry, procurement, and those who help them evade sanctions. They have also placed sanctions and visa restrictions on over 300 officials for the kidnapping of Ukrainian children. The White House says this is just the beginning of their response to Navalny’s murder. The EU also joined in today’s Sanctions-palooza. With them sanctioning over a hundred foreign companies, including Chinese companies, for exporting dual-use goods to Russia. They also sanctioned a long list of Russian officials and in response, Russia banned more European Union officials from visiting Russia. Over 19,000 sanctions have been applied to Russia since the war began. It’s estimated that Ukraine has only a few weeks left before it’s out of ammunition as the Russian assault picks up speed. Russia is assisted by Iran and North Korea who are reported to have given Russia hundreds of new missiles. As cities continue to fall in Ukraine and Russia massacres whoever's left - The entire free world is now looking directly at Speaker Mike Johnson wondering how much Putin is paying him to not allow a vote on aid to Ukraine.",78400,3147,176,,1. Oh no not more sanctions 🤣We will never colonize the cosmos at this rate 2.  People in comments really don’t realize that the US can both support Ukraine and itself. There’s a certain chamber of congress that blocks everything 3.  why is Navalny so important? genuine question I haven't heard of him 4.  Why should the US keep giving Ukraine money if we have many problems at home ??? Just wondering…. 5.
#SaveUkarine,7304996044113235232,2023-11-24,@saveukraine888,Kazakhstan,#войнавукраине #рашапарашa🔴⚫🇺🇦🇺🇦🇺🇦 #пленныерусские #славаукраїні🇺🇦🇺🇦🇺🇦,33300,678,440,,
#SaveUkarine,7241654771482922245,2023-6-6,@fundacja.tosieuda,Kazakhstan,Bądźmy z Ukrainą 🙏🏻❤️‍🩹 #StopEcocideUkraine #war #russiaisaterrosistate,38700,1162,3376,,1. Dear people and animals  hold on 🙏🙏🙏🥺🥺🥺❤️‍🩹❤️‍🩹❤️‍🩹 2.  😪🙏🏽🙏🏽 3.  🥺🥺🥺🥺 4.  🥰🥰🥰🥰🥰🥰🥰 5.  😭😭🙏🙏🙏
#SaveUkarine,7171130457139072261,2022-11-28,@aviation.vidss,Kazakhstan,History is repeating itself. #fyp #ukraine #ukraine🇺🇦,232900,2272,1289,,1. war is war never changes 2.  tbh Ukraine rn is nothing like the trenches in ww1. 3.   Bro compared the Ukraine war to ww1 💀 4.  Ww1 is arguably the worst war to happen in history ☠️ 5.  “Don’t compare” these kids💀obviously it’s not as bad as WW1 but we have no idea how long this war will be and it looks like that already 6.  U can’t compare Ukraine to ww1 bro💀
#Ukrianewar,7198436996769926442,2023-2-10,@ukrainevictory02,Kazakhstan,What do you do when Wagner soldiers move towards your position. You politely say hello with a 40mm multi grenade luncher. They love ❤️ it #fyp #ukraine #ukrainewar #war #military #news #support #army #ukrainaarmy #bakhmut #soldier #wagner,194200,3310,3442,,1. Wow at one time a family lived there. All their stuff still inside 😳 2.  someone's home and life destroyed for a piece of land 3.  Brilliant  4.  so after you launch your grenade and expose your positon i think you and this house will skyrocket 5.  In an apartment....??? It's not strange that houses are demolished. 6.  Until they find what window thar came from.
#Ukrianewar,7231959377857547546,2023-5-11,@ondemandnews,Kazakhstan,"
#Ukrainian #Soldiers Discover #WW2 #German Remains #fyp #ukrainwar #russia #news #uknews",45400,816,2343,,1. The old guard still at their post 2.  And the pattern repeats itself… 3.  Realising that could be them in 70 -80 years 4.  literally the same trenches 5.  WAR NEVER CHANGES 6.  He’s saying not to touch it or the same outcome will come to them. They are very superstitious.
#Ukrianewar,7201859034129960197,2023-2-19,@bestqualitypost,Kazakhstan,#war #2023 #ukraine #sad,3365,135,134,,1. they look so tired😕☹️ 2.  my prayers go out to you🙏 3.  🙏 praying for your safety 🥰 4.  Russia has just tried TRIED to take Ukrain and now everyone is helping ukrain but what abt 🇵🇸 Israel has already take 🇵🇸 and nobody cares? 5.  stay 💪💪💪🇺🇦🇺🇦🇺🇦💛💙💛💙💯🔥 6.  Stay alive🙏we proud of you! Heroes
#Ukrianewar,7145060290206420230,2022-9-19,@lukas.younger,Kazakhstan,#war #ukraine #severodonetsk #lisichansk #sof #capcut #tt,528100,4054,7963,,1. Only in 2022 will you see war footage in the format of a Tik Tok video 2.  Are this escape from Tarkov highlights ? 3.  Gaming companies should have their major updates asap 4.  bro 5.  this is one of the hardest videos ive seen 6.  “I NEED COVERING FIREEEE” bruh hold on! I’m editing my tiktok 😂
#Ukrianewar,7317298967451307310,2023-12-27,@cnn,Kazakhstan,"Ukraine claimed to have carried out an airstrike in Crimea that destroyed a Russian Navy tank landing ship in what would be, if confirmed, the third instance of major losses of Russian military hardware in less than a week. CNN cannot independently verify the claim, but videos posted on social media showed large explosions in the Feodosia port. #ukraine #russia #war #cnn #news",3212,355,74,,"1. Crap propaganda 2.  Proving grounds for the wealthy and their toys. Slaughter grounds for prisoners and the poor. Americans are over their government.Domestic priorities! 3.  yeah excuse me😒 greatest to respectful to his Excellency Mr president joe Biden general commender army but I am now under greatest attacked from thi 4.  Слава Україні!
Glory to heroes! 5.  Good fuck putin💪 6.  Now why don't you call this ter*orism? Double standards. 🇵🇸🇵🇸🇵🇸"
#StandWithRussia,7073187835649592618,2022-3-9,@nick_morabito13,Kazakhstan,Reply to @figurehidden we don’t care #ukraine #ww3 #LinkBudsNeverOff #russia #ww3memes #istandwithukraine,2564,193,28,,"1. You stand with russia and u gonna gonna fall with russia too 2.  Glory to Ukraine 🇺🇦 3.  And we didn’t ask 4.  Stand with Russia then fall with Russia.
I stand with Ukraine 5.  also Georgia 🇬🇪 stands with Ukraine 🇺🇦💙💛 6.  Can ya please just go drop one on Putin and come home? (I can’t be the first to say this 7.  am I?)"
#StandWithRussia,7291090750496853294,2023-10-17,@trifulka1975.7519rrrrrr0,Kazakhstan,No Decription,596,33,5,,1. 🤣🤣🤣🤣🤣🤣 За изобретение нового оружия 5++++!!! За юмор10++++!! Удачи вам!!! 👍👍👍👍 2.  Ребятки. 👍👍👍♥️♥️♥️ 3.  ребята вы ещё и шутите поднимаете все хорошего настроения храни вас господь🥰🥰🥰🥰🥰🥰🥰❤️❤️❤️ 4.  Удачи вам ребята.Неунывайте.Терпегия вам.Разсмешили Супер.Храни вас Господь 5.  Молодцы
#RussiaInvadedUkraine,7276354181747854625,2023-9-8,@proactivethinker1,Kazakhstan,The real reason Putin invaded Ukraine #war #russia #putin #money #economy #ukrain,9730,1300,163,,1. buddy you need to update your info 2.  There only doing well bc nato is giving most of its forces to Ukraine 3.  blud is stuck in 2022 4.  its that nato is helping ukraine 5.  To stop NATO getting to near their border what do you reckon. 6.  Bruh pretty sure they have near all of the territories they wanted so how is it a failure ?
#RussiaInvadedUkraine,7068360281319214383,2022-2-24,@philipdefranco,Kazakhstan,16 Hours Into Russia’s Invasion Of Ukraine #ukraine #geopolitics #russia,1700000,12800,24100,,"1. Activision right now - 👀👨‍💻 2.  You said Russia bombing hospitals!!? 3.  
attacking hospitals is a war crime isn't it? 4.  Phillip thank you for the speedy updates 5.   the invasion of Poland by Germany and the soviet union is widely regarded as the start of ww2. let that sink in"
#RussiaInvadedUkraine,7068326416827501871,2022-2-24,@philipdefranco,Kazakhstan,14 Hours Into Russia’s Full Scale Invasion Of Ukraine #ukraine #geopolitics #russia,1600000,13500,24600,,"1. Maybe 2020 wasn’t so bad after all… 2.  CHIEF KEEF WHERE IS HE!!! 3.  
Can you give us a rundown on what article 4 is? 4.  50 5. 000 used to live here.... now it's a ghost town 6.  i lied i’m not gonna intervene i’m too scared"
#RussiaInvadedUkraine,7203749692080098606,2023-2-24,@nytimes,Kazakhstan,"When Russia invaded Ukraine on this day last year, its leaders thought Kyiv would fall in just 18 hours. It did not. In the Kyiv suburb of Bucha, which Vladimir Putin’s forces occupied for a month in March, especially chilling scenes of atrocities against civiilians soon emerged. Our visual investigations team used exclusive phone logs, military files and hundreds of videos to name the Russian unit and commander responsible for killing dozens of people along one street in Bucha.",9561,235,391,,1. those Russian soldiers all look so young!!! will there ever be any real justice for their victims? 2.  As bad as war is 3.  I think the coolest thing about this is how much footage there is whether it's drones or security cams 4.  Now that’s what I call war reporting. Would the NYT do this if American generals were accused of the same? 5.  Part at the beginning of the Russian soldier pointing the gun at the camera was eerie 6.  Unreal investigating 7.  These aren’t even the worst atrocities found in Bucha.
#RussiaInvadedUkraine,7173479573722598661,2022-12-4,@websarchives,Kazakhstan,"On 24 February 2022, Russia invaded Ukraine in a major escalation of the Russo-Ukrainian War, which began in 2014. The invasion has likely resulted in tens of thousands of deaths on both sides and caused Europe's largest refugee crisis since World War II, with an estimated 8 million people being displaced within the country by late May as well as 7.8 million Ukrainians fleeing the country as of 8 November 2022. Within five weeks of the invasion, Russia experienced its greatest emigration since the 1917 October Revolution. The invasion has also caused global food shortages. The invasion has received widespread international condemnation. The United Nations General Assembly passed a resolution condemning the invasion and demanding a full withdrawal of Russian forces. Many countries imposed sanctions on Russia, as well as on its ally Belarus, which have affected the economies of Russia and the world, and provided humanitarian and military aid to Ukraine, totalling over $80B from 40 countries as of August 2022. Over 1,000 companies have pulled out of Russia and Belarus in response to the invasion. #ukraine #russia #ukraineinvasion #putin #zelensky",6738,498,76,,1. that was february?? didn’t feel like that long ago 2.  Going very well 😂 3.  ніби вчора було.. 4.  откуда 1 фото
#PrayForUkraine,7341367007444536582,2023-12-31,@miltokcover,Kazakhstan,🇺🇦🪖🦾🔥👍👊☝️🙏✌️🕊 #ukrainianarmytoday #miltokcover #armyukraine🇺🇦 #soldier🇺🇦🇺🇦🇺🇦 #power🇺🇦 #fire🇺🇦🔥 #🇺🇦cool🇺🇦 #🇺🇦revenge🇺🇦 #🇺🇦godwithme🇺🇦 #🇺🇦prayforukraine🇺🇦 #🇺🇦prayforukraine🇺🇦 #🇺🇦victory🇺🇦 #🇺🇦stopwarinukraine🇺🇦 #warzone🇺🇦🇺🇦 #🇺🇦🇺🇦україна🇺🇦 #🇺🇦🇺🇦арміяукраїни🇺🇦🇺🇦 #зсу🦾🦾 #🇺🇦длятебе🇺🇦 #🇺🇦минездамося🇺🇦 #🇺🇦богзнами🇺🇦 #перемогазанами🇺🇦🦾🦾 #🇺🇦🔥🔥🔥🔥🔥,712,22,9,,1. Дякую рідненькі за захист!🙏 2.  Вы большие молодцы. Берегите себя 3.  Божоі опіки❤️🙏 4.  ♡♡♡ДЯКYЮ ЗА ЗАХИСТ!!!!!!СЛАВА ЗСY!!!! 5.  ❤🙏💙💙💛💛✌💪 6.  😍🔥🤙🇺🇦 7.  🙏🙏🙏
#PrayForUkraine,7069128389994515718,2022-2-26,@everything.ukraine,Kazakhstan,pray for ukraine 🇺🇦❤️,652100,6170,4127,,1. this man put down his suit and picked up uniform. thats what a true leader looks like 2.  I’m not Ukrainian but I can tell you he will go down as one of the greatest presidents in our generation 3.  forever grateful for him 4.  hero?😂😂😂😂.....he's a legend 5.  went from watching him on tv laughing at his comedy shows and movies to watching him fight for his people… truly breaks my heart 💙💛 6.  True Leader right there facing the russian army with his army
#PrayForUkraine,7303502115031272736,2023-11-20,@strtelling,Kazakhstan,PRAYING FOR UKRAINE! #russiaisaterroristate #warinukraine #recommendations #ukraine,40200,936,443,,1. #russiaisaterroriststate 2.  Praying for you guys 🤍🤍🇺🇦🇺🇦🙏🏻🙏🏻 3.  free ukraine 4.  don’t be quiet! 5.  pain.
#PrayForUkraine,7288659010322976006,2023-10-11,@miltokcover,Kazakhstan,🇺🇦🥺🙏#ukrainianarmytoday #miltokcover #militarywoman🇺🇦 #soldier🇺🇦🇺🇦🇺🇦 #warzone🇺🇦🇺🇦 #🇺🇦prayforukraine🇺🇦 #🇺🇦godwithme🇺🇦 #power🇺🇦 #🇺🇦victory🇺🇦 #🇺🇦🇺🇦україна🇺🇦 #🇺🇦дівчатазсу🇺🇦 #🇺🇦🇺🇦арміяукраїни🇺🇦🇺🇦 #зсу🦾🦾 #🇺🇦длятебе🇺🇦 #🇺🇦богзнами🇺🇦 #перемогазанами🇺🇦🦾🦾,26600,394,195,,1. Why not peace than war 2. 🙏🤟❤️💚💙 3.  God bless you UKRAINE HEROES 🫡🫡🫡🇫🇮🫶🇺🇦❤️❤️❤️support from Finland 4.  rip 5.  Please be safe beautiful. 6.  you are my hero
#PrayForUkraine,7068552465477537025,2022-2-24,@alessia_dg7,Kazakhstan,Украина 🇺🇦❤️‍🩹,204400,9730,6120,,1. that scream breaks me :( 2.  that cry breaks my heart 🥺 3.  please lord watch over the people in Ukraine 4.  This is truley heartbreaking. Hearing that baby cry in fear. WHAT HAS THIS WORLD COME TO 🥺 5.  OMG 6.  please protect Ukraine🙏❤❤😭😭😭
