Hashtags,Video ID,create_time,username,region,video_description,like_count,comment_count,share_count,view_count,Comments,Sentiments,Majority Category,Other Languages than English,Sentiment of other Language,Description Sentiments,Description_comment_match,Video_Sentiments_Inferred
#UkraineConflictAnalysis,7261749735252315434,2023-7-30,@prestonstew,Kazakhstan,Replying to @leipäjuusto Regular Ukraine updates,5619,457,7,,"1. The mass majority truly appreciated what you did, thank you very much. 2.  Silent fan here. I’ve always appreciated your thoughtful insight. 3.  
Please don’t stop connecting with us. Your work on all this has been phenomenal. 💚 4.  People just like to ruin a good thing. I come here for your positive attitude and expert analysis. 😞😞 5.  got your back bro. it's alot of info. ur insight was great. keep up the amazing content regardless 😁💪
","1) Unrelated/Cannot infer sentiment towards war
2) Unrelated/Cannot infer sentiment towards war
3) Unrelated/Cannot infer sentiment towards war
4) Unrelated/Cannot infer sentiment towards war
5) Unrelated/Cannot infer sentiment towards war",unrelated/cannot infer sentiment towards war,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#UkraineConflictAnalysis,7072749086268509486,2022-3-8,@daveindercomar,Kazakhstan,#internationallaw,3049,78,41,,"1. Ukraine’s legal strategy is bringing attention to the crime of aggression and the need to give more teeth to international law. 2.  What are implications if there is an order and Russia ignores? 3.  I mean even if Russia loses,which they will. I doubt Russia is going to listen to a court order… 4.  who will enforce ruling?","1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine",inclined towards ukraine,,,Neutral Sentiment,unmatched,inclined towards ukraine
#UkraineConflictAnalysis,7152969340504100101,2022-10-10,@thehistorylegends,Kazakhstan,Combat Footage from #kherson explained ⚔️ #warfare #war #military #militarytiktok,4159,231,29,,"1. Wait I though Ukraine was winning? 2.  This can't be real. MSNBC didn't tell about it! 😂 3.  offensives going great lol 4.  sad 5.  Take Putin however you like, but there are admirable military moves happening on both sides. How successful they are is a different story.","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Inclined towards Russia
4) Neutral Sentiment
5) Neutral Sentiment",inclined towards russia,,,Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#UkraineConflictAnalysis,7297609080019897632,2023-11-4,@rehiartur,Kazakhstan,Japanese experts analyse Putin's doubles using AI... #WarInUkraine #Ukraine #UkraineConflict #peace #warreporter #warnews,1727,123,41,,"1. BBC propaganda 2.  Putin is a coward in a bunker like Hitler 3.  he is afraid like a small pupy, afraid of his own shadow, he will be till the ebd of his miserable life 4.  Russia starting to produce clones ? 😂 Man, Ukraine has no chance now 5.  Ok great he has a double, so now what? Nothing? A just a waste of time TikTok then. Got it 👍","1) Showing Propaganda
2) Inclined towards Russia
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Unrelated/Cannot infer sentiment towards war",inclined towards russia,,,Inclined towards Russia,matched,Sentiment Matches: inclined towards russia
#UkraineConflictAnalysis,7068977357553405190,2022-2-26,@timtokgatt,Kazakhstan,"""Much more is important in war: discipline, morale and motivation than equipment or sheer numbers"" #ukraine #russia #ukrainewar #ukraineinvasion #news",3337,147,51,,"1. BRAVE UKRANIANS !❤🙏💯 2.  Ukraine will prevail!!! 🇺🇦🇺🇦🇺🇦💪💪💪💪💪 3.  Yes the Ukrainians have done well so far, but we must do more to help them!!!!
🇬🇧❤️🇺🇦 4.  From videos I’ve seen, many of the Russian soldiers behave like they do not want to be where they are. 5.  This is war and there will be no winners. Ukranian optimism is going to be short lived because it’ll escalate. 🥺","1) Inclined towards Ukraine 
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Inclined towards Peace",inclined towards ukraine,,,Inclined towards Peace,unmatched,Opposite Sentiments
#UkraineConflictAnalysis,7078421710785023259,2022-3-23,@papagp31167,Kazakhstan,Russia and Ukraine History of Conflict Explained.#history #Russia #ukraine #conflict #explained #rivalry #language #centuries #ancestry #millenium #kiev #national #identities #nationalism,582,15,67,,"1. Scammed by the west. Pushed to war 2.  that is why Ukraine have rights to fight for their nation. since then 3.  Sense of justice dictates. Those who mumbled URAAA would imply ignorance. Thanks for this video.😎 4.  It’s not the ordinary people who wants war. It’s the politicians, the leaders of both countries. 5. f not from Russia, the NAZI could have control half of Humanity.","1) Inclined towards Russia
2) Inclined towards Ukraine
3) Neutral Sentiment
4) Inclined towards Peace
5) Inclined towards Russia",inclined towards russia,,,Inclined towards Russia,matched,Sentiment Matches: inclined towards russia
#UkraineConflictAnalysis,7222116582393187627,2023-4-14,@edwardmliger,Kazakhstan,Hiw to understand war in #ukraine and why #putin invaded. #russia #usa #zelensky #maidan,6917,1333,600,,"1. Oh no! You’re so right. I guess invading Georgia, Chechnya, and Moldova also had to have been totally justified! It’s all natos fault! You’re a genius 2.  I still don’t think Russia had the right to get involved in ukraines internal affairs. 3.  While that may be true, it does not justify Russia’s original war goal of conquering Ukraine and converting it into a puppet. 4.  Before Russia even got involved the suspension guys wearing Russian uniforms and using their equipment. 5.  THE INCONVENIENT TRUTH!!!","1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Unrelated/Cannot infer sentiment towards war",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#KazakhstanReactionRussiaUkarineWar,7137722997858749739,2022-8-30,@aravosis,Kazakhstan,29AUG22: #fyp #xyzbca #news,2335,80,16,,1. Well done those people who called it out for what it was 😳 2.  Everything as it should be in my honest opinion! 3.  hell yeah no peace for facist supporters. good on the Kazakhstan citizens. 4.  Oh they're upset about people hating them for supporting a military invasion of a country that is fighting for their lives 5.  Hope this helps pierce the veil of rubbish they are being fed by the Russian state 6.  Awesome Kazakhstan!!! Slava Ukraini! 👍💪🇺🇦,"1) Inclined towards Ukraine 
2) Inclined towards Russia 
3) Inclined towards Peace 
4) Inclined towards Russia 
5) Inclined towards Ukraine 
6) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Peace,unmatched,Opposite Sentiments
#KazakhstanReactionRussiaUkarineWar,7207564473983339781,2023-3-6,@szabadonmagyarul,Kazakhstan,president Zelensky about the execution of the Ukrainian POW,3359,323,67,,1. Eternal memory hero 🕊️💔🕯️ 2.  Heroyam slava ❤️🇺🇦💪 3.  Slava Ukraine! 🇨🇦 4.  Slava Ukraine! 🇨🇦 5.  Bravery. Defiance. Hero to the end.,"1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine
5) Inclined towards Ukraine",inclined towards ukraine,2.  Heroyam slava ❤️🇺🇦💪 3.  Slava Ukraine! 🇨🇦 4.  Slava Ukraine! 🇨🇦,"2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine",Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#HumanRightsViolationsRussiaUkraineWar,7053157701240802607,2022-1-14,@@abcnews,Kazakhstan,"“We are concerned that the Russian government is preparing for an invasion in Ukraine that may result in widespread human rights violations and war crimes,"" #PressSec #JenPsaki says. #news",3870,510,116,,1. Classic Russian way! 2.  I don’t think it’s will happen 3.  there attacking ireland im am so scared my mam said we better move far away as we can 4.  = more money for milotary spending😅 5.  God Saves All🤟🏻🌞🌈,"1) Inclined towards Russia
2) Neutral Sentiment
3) Neutral Sentiment
4) Inclined towards Russia
5) Neutral Sentiment",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#EndTheRussiaUkraineWar,7070646852353330474,2022-3-2,@bloombergoriginals,Kazakhstan,"In a 141 to 5 vote, the #UN passed a resolution calling on #Russia to end the war in #Ukraine and withdraw all its troops. #WorldNews #RussiaUkraine",364600,15100,12200,,"1. The 5 opposed are Russia, Belarus, North Korea, Syria, and Eritrea for those wondering 2.  They act like voting is gonna stop it’s the equivalent to a school petitioning to not have class 3.  ah yes, good job! Russia will withdraw thier troops now. Bravo UN 👏 👏 👏 4.  I don’t think Russia cares about your vote. Yeah you voted now what 5.  they are all corrupt. didnt UN cause this war? nato by playing chicken with adding countries...","1) Inclined towards Russia
2) Neutral Sentiment
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Unrelated/Cannot infer sentiment towards war",inclined towards russia,,,Inclined towards Peace,unmatched,Opposite Sentiments
#EndTheRussiaUkraineWar,7156269557387201838,2022-10-19,@bal.d.entertainment,Kazakhstan,#russia #ukraine #war #putin #foryou,6932,652,45,,"1. putin soundslike a little school kid. 2.  give up? they aren't even losing! 3.  Ukraine 🇺🇦 will not give up 4.  Never surender 5.  
I think it will go on because they wont give up","1) Inclined towards Ukraine  
2) Inclined towards Russia  
3) Inclined towards Ukraine  
4) Inclined towards Ukraine  
5) Neutral Sentiment",neutral sentiment,,,Inclined towards Russia,unmatched,Opposite Sentiments
#EndTheRussiaUkraineWar,7208210475513941294,2023-3-8,@sgu_88,Kazakhstan,Ukrainian POW execution to be avenged #ukrainewar #supportukraine #endwar🇺🇦 #russianukrainianwar #ukraine🇺🇦 #ukraine,4610,127,89,,1. War is war.. oh well 2.  🇺🇦✊ 3.  poor man🙏🏼 rip 4.  Russians are savages 5.  he's a brave man and a reminder the price of freedom and the brutality of Russia,"1) Neutral Sentiment
2) Inclined towards Ukraine
3) Neutral Sentiment
4) Inclined towards Russia
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#EndTheRussiaUkraineWar,7151824723058412842,2022-10-7,@sebastian_the_coyote,Kazakhstan,#ukrainewar #russia #nato #nuclearwar #nuclear #scary #endwar #endthewarinukraine #beforeitstoolate,39600,3327,1562,,1. People think they safe in Australia till the radiation hits the spiders 😏 2.  My country got oblitirated like 50 times 3.  When this gonna happen? Can I stop paying my bills now? 4.  ✍️move to Australia ✍️ 5.  Why was Saskatoon the first to get hit in Canada 😂,"1) Neutral Sentiment
2) Inclined towards Ukraine
3) Neutral Sentiment
4) Neutral Sentiment
5) Unrelated/Cannot infer sentiment towards war",neutral sentiment,,,Inclined towards Peace,unmatched,Opposite Sentiments
#EndTheRussiaUkraineWar,7068463560598326555,2022-2-24,@janngabriellereyes,Kazakhstan,#fyp #russia #ukraine #foryoupage #war #ww3 #worldwar3 #endoftheworld,471800,15000,5221,,"1. nato will not move to help ukraine, unless one of the country in nato got attack thenthey will attack 2.  no we don't want war let's spread love. 3.  Mongolia be like:😏😏😏 4.  NOOOO ! PHILIPPINES NOT JOINED ANY TEAM. 5.  Philippines will not join NATO","1) Inclined towards Ukraine
2) Inclined towards Peace
3) Neutral Sentiment
4) Unrelated/Cannot infer sentiment towards war
5) Neutral Sentiment",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#UkraineWillWin,7285366329152933121,2023-10-2,@untvnewsandrescue,Kazakhstan,President Volodymyr Zelenskyy praises Ukrainian Armed Forces for winning war with Russia #newsph #untvnewsandrescue #untv,2935,235,25,,1. nobody will beleive.impossiblu 2.  victory 3.  Wow! love to know this!❤...God bless you Eukraine! 4.  Congrats! For your won victory 👍🏻🥰👏🏻👏🏻👏🏻🙏🏼❣️💖🍾🥂 5.  god bless ukraine saludo aq sa kgitingan ng mga sundalo 6. god bless ukraine saludo aq sa kgitingan ng mga sundalo,"1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine
5) Inclined towards Ukraine
6) Inclined towards Ukraine",inclined towards ukraine,6. god bless ukraine saludo aq sa kgitingan ng mga sundalo,6) Inclined towards Ukraine,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#UkraineWillWin,7271361589146684678,2023-8-25,@valerisssh,Kazakhstan,I can’t even imagine that Its my life. Ukraine will win ❤️🇺🇦 #war #ukraine,124800,1040,2077,,1. People need to see our reality more. Thank you for showing them 2.  ❤❤ 3.  My heart with ukraine ❤️ 4.  Ukrainians are brave ❤️ 5.  I’m on your side❤️❤️❤️,"1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#РесейУкраинаСоғысы,7251593552843574534,2023-7-3,@qazpolhis,Kazakhstan,Ресей-Украина соғысында кім жеңуде? #саясат #политика #география #экономика #Қытай,14.8k,361,103,,"1. Германия vs ксро, Америка 2. -Кола или Пепси -Макси чай 3. айфон или самсунг,  редми. 4. – Айдос пен Марат жарыска тусты,Кым женды? – Нурбол 5. Қытай соғыспен емес мыймен дипломатикалық жолмен ұтады 6. Самсунг или Айфон -блюкбури. 7. -Қытай мен АҚШ соғысса кім женед -Манғолия","1) Inclined towards Russia
2) Unrelated/Cannot infer sentiment towards war
3) Unrelated/Cannot infer sentiment towards war
4) Unrelated/Cannot infer sentiment towards war
5) Inclined towards Peace
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Russia",unrelated/cannot infer sentiment towards war,"1. Германия vs ксро, Америка 2. -Кола или Пепси -Макси чай 3. айфон или самсунг,  редми. 4. – Айдос пен Марат жарыска тусты,Кым женды? – Нурбол 5. Қытай соғыспен емес мыймен дипломатикалық жолмен ұтады 6. Самсунг или Айфон -блюкбури. 7. -Қытай мен АҚШ соғысса кім женед -Манғолия","1) Inclined towards Russia
2) Unrelated/Cannot infer sentiment towards war
3) Unrelated/Cannot infer sentiment towards war
4) Unrelated/Cannot infer sentiment towards war
5) Inclined towards Peace
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Russia",Inclined towards Russia,unmatched,Opposite Sentiments
#РесейУкраинаСоғысы,7077982543617838338,2022-3-22,@yerallyy,Kazakhstan,Ресей Украинаға неушін соғыс ашты?🤔,84k,3352,2932,,1. Бір канфет үшін соғыс ашып😵😬2. олай емес украйна басқа мемлекет қарамағына өтемін дегенде путин оған қосылмайсың қосылған маған қосыласың дегенде ол келіседі сол үшін соғыс ашты😌😌 3. Ойбай кориа кино болып кетті ғой 😂 4. Лапша ілмеш болмайтын кəмпйтек соғыс ашпайтын шығар өскенсоң еснен шығып кеткен шығар 5. құлаққа қымбат лапшаны ілдіғо 6. Ұйтіб өтірік айтуға болмайды путин естісе ұят болды ғой 😂 7. Ол кезде канпит кымбат болган го😂,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Unrelated/Cannot infer sentiment towards war
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Unrelated/Cannot infer sentiment towards war",unrelated/cannot infer sentiment towards war,1. Бір канфет үшін соғыс ашып😵😬2. олай емес украйна басқа мемлекет қарамағына өтемін дегенде путин оған қосылмайсың қосылған маған қосыласың дегенде ол келіседі сол үшін соғыс ашты😌😌 3. Ойбай кориа кино болып кетті ғой 😂 4. Лапша ілмеш болмайтын кəмпйтек соғыс ашпайтын шығар өскенсоң еснен шығып кеткен шығар 5. құлаққа қымбат лапшаны ілдіғо 6. Ұйтіб өтірік айтуға болмайды путин естісе ұят болды ғой 😂 7. Ол кезде канпит кымбат болган го😂,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Unrelated/Cannot infer sentiment towards war
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Unrelated/Cannot infer sentiment towards war",Inclined towards Russia,unmatched,Opposite Sentiments
#РесейУкраинаСоғысы,7236061423246265605,2023-5-22,@qazpolhis,Kazakhstan,Қалай Қазақстан Ресейге соғыста көмектесіп жатыр? #политика #саясат #география #экономика #Ресей #Украина #әскер #санкция,12.9k,303,77,,1. Украййынаға обал болды🥺😳😭😱 2. санкция деген не тусынюедфм🥺 3. Тоқаев ақша үшін істеп жатқан шығар 4. халык украиннага үкімет Ресейге🤐 5. батыс қазақстанға санкция салса экономика қирайды 6. Еуроодақ уже 2 рет ескерту жасады емеспа бізге 7. Дұрыс Ресей главный Израиль басқаратын әлемдік жүйеге қарсы соғысып жатыр,"1) Inclined towards Ukraine
2) Neutral Sentiment
3) Inclined towards Russia
4) Inclined towards Peace
5) Inclined towards Ukraine
6) Neutral Sentiment
7) Inclined towards Russia",mixed sentiments,1. Украййынаға обал болды🥺😳😭😱 2. санкция деген не тусынюедфм🥺 3. Тоқаев ақша үшін істеп жатқан шығар 4. халык украиннага үкімет Ресейге🤐 5. батыс қазақстанға санкция салса экономика қирайды 6. Еуроодақ уже 2 рет ескерту жасады емеспа бізге 7. Дұрыс Ресей главный Израиль басқаратын әлемдік жүйеге қарсы соғысып жатыр,"1) Inclined towards Ukraine
2) Neutral Sentiment
3) Inclined towards Russia
4) Inclined towards Peace
5) Inclined towards Ukraine
6) Neutral Sentiment
7) Inclined towards Russia",Inclined towards Russia,unmatched,Mixed Sentiments
#РесейУкраинаСоғысы,7210859184781397253,2023-3-15,@manas_kaiyrtaiuly,Kazakhstan,АҚШ пен Ресей арасы суып барады #ақш #ресей #дрон #украина #қаратеңіз #су27 #миг29 #drone #бпла #азаттық,8902,499,230,,1. Есі дұрыс қазақтар ресейді қолдамайды 2. Qane Aqsh kushi Dronin quladi soqispayma endi rassiyamen 3. Акшты жене алмаиды 4. Жасасын Украина 5. әлінді бил аязби жолынды бил кумырска Россия Украинаны және алмай жургенде американы калай женбекшисин 2015ж мерзімі отип кеткен продккталарынмен ба😂 6. АҚШ күшті 💪 7. Ресей жеңеді.🇰🇿🤝🇷🇺,"1) Inclined towards Russia
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Ukraine
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards USA
7) Inclined towards Russia",inclined towards russia,1. Есі дұрыс қазақтар ресейді қолдамайды 2. Qane Aqsh kushi Dronin quladi soqispayma endi rassiyamen 3. Акшты жене алмаиды 4. Жасасын Украина 5. әлінді бил аязби жолынды бил кумырска Россия Украинаны және алмай жургенде американы калай женбекшисин 2015ж мерзімі отип кеткен продккталарынмен ба😂 6. АҚШ күшті 💪 7. Ресей жеңеді.🇰🇿🤝🇷🇺,"1) Inclined towards Russia
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Ukraine
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards USA
7) Inclined towards Russia",Inclined towards Russia,matched,Sentiment Matches: inclined towards russia
#РесейУкраинаСоғысы,7203354627335523590,2023-2-23,@manas_kaiyrtaiuly,Kazakhstan,Украинада Ресей жағында соғысқан екі қазақстандық қаза тапқан #украина #ресей #қазақстан #бахмут #донбасс #азаттық,5409,1137,494,,1. ура еки орыс минус😂 2. Қазақстандық деп қойат орыспен қазақты айрмай қалғанба 😂 3. ертең олар бизге қарсы шығатындар 4. қазақа орыс соғыс ашатын болса қүдай сақтасын қанша адам бызге қарсы шығар еды 5. Мәйіті керек емес алып келіп сояқта жата берсін! Кіргізбей керек еді! 6. Неге сотка тартпайды отбасын? 7. Сасытып пүтин ге беру керек мәйіттерін,"1) Inclined towards Russia
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Russia",inclined towards russia,1. ура еки орыс минус😂 2. Қазақстандық деп қойат орыспен қазақты айрмай қалғанба 😂 3. ертең олар бизге қарсы шығатындар 4. қазақа орыс соғыс ашатын болса қүдай сақтасын қанша адам бызге қарсы шығар еды 5. Мәйіті керек емес алып келіп сояқта жата берсін! Кіргізбей керек еді! 6. Неге сотка тартпайды отбасын? 7. Сасытып пүтин ге беру керек мәйіттерін,"1) Inclined towards Russia
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Russia",Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#Қазақстан және РесейУкраина,7315375766512913696,2023-12-22,@irekle.tatarstan,Kazakhstan,У них планы разобраться с Украиной а дальше в Казахстан #казахстан #узбекистан #россия #снг #ссср #москва #астана #ташкент,1287,823,209,,"1. Щещенамы амынды шыгарамыз сігейіннің баласы 2. б.яяяя как они zaebali со своим совком 😡 3. В дурдоме день открытых дверей, что ли?🤔 4. Киев за 3 дня😂! да мы тюрки мусульманин мы вас уничтожим 5. Храбрец, а почеиу не в окопе? Балабол, приходи, встретим. Только лично сам, не прячься за других. 6. могул чорт эмне дейт? за Узбекистан выйдет вся ЦА и весь тюркский мир. от вас ничего не останется 7. Не суй свой нос, куда собака свой х... не суйёт. 8. Оптимист, хаймарс ему в дырки! Физику учи, историю себе придумали. За три дня и 2 года- понятие относительности","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Inclined towards Russia
6) Inclined towards Ukraine
7) Unrelated/Cannot infer sentiment towards war
8) Unrelated/Cannot infer sentiment towards war",inclined towards ukraine,"1. Щещенамы амынды шыгарамыз сігейіннің баласы 2. б.яяяя как они zaebali со своим совком 😡 3. В дурдоме день открытых дверей, что ли?🤔 4. Киев за 3 дня😂! да мы тюрки мусульманин мы вас уничтожим 5. Храбрец, а почеиу не в окопе? Балабол, приходи, встретим. Только лично сам, не прячься за других. 6. могул чорт эмне дейт? за Узбекистан выйдет вся ЦА и весь тюркский мир. от вас ничего не останется 7. Не суй свой нос, куда собака свой х... не суйёт. 8. Оптимист, хаймарс ему в дырки! Физику учи, историю себе придумали. За три дня и 2 года- понятие относительности","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Inclined towards Russia
6) Inclined towards Ukraine
7) Unrelated/Cannot infer sentiment towards war
8) Unrelated/Cannot infer sentiment towards war",Inclined towards Russia,unmatched,Opposite Sentiments
#Қазақстан және РесейУкраина,7068677243681246466,2022-2-25,@w1nertix,Kazakhstan,а за кого вы? #РоссияУкраина #Россиятоп #война #эдит #украинапротивроссии #россияпротивукраины #россияvsукраина #украинаvsроссия,84.3k,15.7k,1636,,"1. Германия за нас как бы, ну ладно... 2. правительство Китая объявило что он будет нейтральным государством 3. как б Азербайджан тоже за Россию 😕 4. а разве Германия за Украину? 5. де США І ПОЛЬША!!! 6. Ошибочка. Германия за Россию, Путин и президент Германии подписали договор о помощи в войне 7. Казахстан против нас пошла 8. Беларусь и Россия друзья не разлей вода. 9. Азербайджан 🇦🇿🇦🇿❤️❤️🇷🇺🇷🇺🇷🇺🇷🇺","1) Inclined towards Ukraine
2) Neutral Sentiment
3) Inclined towards Russia
4) Inclined towards Russia
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards Russia
7) Inclined towards Russia
8) Inclined towards Russia
9) Inclined towards Russia",inclined towards russia,"1. Германия за нас как бы, ну ладно... 2. правительство Китая объявило что он будет нейтральным государством 3. как б Азербайджан тоже за Россию 😕 4. а разве Германия за Украину? 5. де США І ПОЛЬША!!! 6. Ошибочка. Германия за Россию, Путин и президент Германии подписали договор о помощи в войне 7. Казахстан против нас пошла 8. Беларусь и Россия друзья не разлей вода. 9. Азербайджан 🇦🇿🇦🇿❤️❤️🇷🇺🇷🇺🇷🇺🇷🇺","1) Inclined towards Ukraine
2) Neutral Sentiment
3) Inclined towards Russia
4) Inclined towards Russia
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards Russia
7) Inclined towards Russia
8) Inclined towards Russia
9) Inclined towards Russia",Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#Қазақстан және РесейУкраина,7068198347537992961,2022-2-24,@antennamemov,Kazakhstan,Не должно быть войны между нами🙏🏻 #россия #украина #мир,200.9k,2896,1984,,"1. ужасно,когда брат против брата воюет😔 2. всё славян накачали против друг друга,жаль очень 3. на любой войне всегда страдаю невинных люди , дети , пожилые люди , кто то потеряет свою семью .. жить надо мирно и дружно .. всем желаю мира .. 🙏 4. потому что мы братский народ 5. Святые 90е , время свободы , больших денег , расствета 6. Мы не братский народ! Мы по разные баррикады! 7. Вова все исправил 8. Спасибо правительству с обоих сторон","1) Inclined towards Peace
2) Neutral Sentiment
3) Inclined towards Peace
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards Russia
7) Inclined towards Russia
8) Neutral Sentiment",inclined towards peace,"1. ужасно,когда брат против брата воюет😔 2. всё славян накачали против друг друга,жаль очень 3. на любой войне всегда страдаю невинных люди , дети , пожилые люди , кто то потеряет свою семью .. жить надо мирно и дружно .. всем желаю мира .. 🙏 4. потому что мы братский народ 5. Святые 90е , время свободы , больших денег , расствета 6. Мы не братский народ! Мы по разные баррикады! 7. Вова все исправил 8. Спасибо правительству с обоих сторон","1) Inclined towards Peace
2) Neutral Sentiment
3) Inclined towards Peace
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards Russia
7) Inclined towards Russia
8) Neutral Sentiment",Inclined towards Peace,matched,Sentiment Matches: inclined towards peace
#Қазақстан және РесейУкраина,7169047138997914885,2022-11-22,@golosnaroda.kz,Kazakhstan,"В эфире государственного российского канала пропагандисты обсуждают, что следующая проблема России после Украины - это Казахстан. #казахстан #украина🇺🇦 #казахстан #вреки",6299,1799,1414,,"1. 🇺🇿❤🇰🇿 брат за брата , Мы не должны повторить ошибку наших дедов, мы должы обьединиться 2. как же нам не повезло с соседями😔 3. Сначала разберитесь у себя. 4. попробуй те взять Казакста. тогда точно у вас будет проблема. 5. Мы живём в Казахстане все национальности все дружно, это вы начинаете нацизм, 6. Өлетін бала молаға қарай жүгіреді 7. Согуш болсо бизда чогу согушабыз💯 Кыргыз эли силер менен . Туран!! 8. почему все трогают Казахстан, у нас все нормально","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Peace
8) Inclined towards Ukraine",inclined towards ukraine,"1. 🇺🇿❤🇰🇿 брат за брата , Мы не должны повторить ошибку наших дедов, мы должы обьединиться 2. как же нам не повезло с соседями😔 3. Сначала разберитесь у себя. 4. попробуй те взять Казакста. тогда точно у вас будет проблема. 5. Мы живём в Казахстане все национальности все дружно, это вы начинаете нацизм, 6. Өлетін бала молаға қарай жүгіреді 7. Согуш болсо бизда чогу согушабыз💯 Кыргыз эли силер менен . Туран!! 8. почему все трогают Казахстан, у нас все нормально","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Inclined towards Peace
8) Inclined towards Ukraine",Inclined towards Russia,unmatched,Opposite Sentiments
